Event	ID	Name			Wwise Object Path	Notes
	176324301	Play_Archer_Melee_Attack			\Default Work Unit\Human_enemies\Play_Archer_Melee_Attack	
	282993986	Play_Enemy_Humanoid_Hit			\Default Work Unit\Human_enemies\Play_Enemy_Humanoid_Hit	
	1511621515	Play_Lumberjack_Axe_Swing_Attack			\Default Work Unit\Human_enemies\Play_Lumberjack_Axe_Swing_Attack	
	1628159071	Play_Lumberjack_Heavy_Axe_Attack_Hit_edit			\Default Work Unit\Human_enemies\Play_Lumberjack_Heavy_Axe_Attack_Hit_edit	
	1677382623	Play_Lumberjack_Heavy_Axe_Attack_Warning			\Default Work Unit\Human_enemies\Play_Lumberjack_Heavy_Axe_Attack_Warning	
	2135203437	Play_Enemy_Humanoid_Discover_Players			\Default Work Unit\Human_enemies\Play_Enemy_Humanoid_Discover_Players	
	2259159008	Play_Enemy_Conversation			\Default Work Unit\Human_enemies\Play_Enemy_Conversation	
	2370528178	Play_Archer_Ranged_Attack			\Default Work Unit\Human_enemies\Play_Archer_Ranged_Attack	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	18402602	Enemy_Humanoid_Hit_04	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Enemy_Humanoid_Hit_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Enemy_Humanoid_Hit\Enemy_Humanoid_Hit_04		35136
	32911787	Enemy_Humanoid_Discover_Players_06	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Enemy_Humanoid_Discover_Players_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Enemy_Humanoid_Discover_Players\Enemy_Humanoid_Discover_Players_06		63424
	38504863	Lumberjack_Axe_Swing_Attack_02	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Lumberjack_Axe_Swing_Attack_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Lumberjack_Axe_Swing_Attack\Lumberjack_Axe_Swing_Attack_02		62824
	68335128	Lumberjack_Heavy_Axe_Attack_Warning	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Lumberjack_Heavy_Axe_Attack_Warning_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Lumberjack_Heavy_Axe_Attack_Warning		155158
	89517690	Archer_Ranged_Attack_06	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Archer_Ranged_Attack_06_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Archer_Ranged_Attack\Archer_Ranged_Attack_06		95452
	93454566	Enemy_Humanoid_Discover_Players_04	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Enemy_Humanoid_Discover_Players_04_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Enemy_Humanoid_Discover_Players\Enemy_Humanoid_Discover_Players_04		137920
	139431100	Enemy_Conversation_07_Pt1	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Enemy_Conversation_07_Pt1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Enemy_Conversation\Enemy_Conversation_07\Enemy_Conversation_07_Pt1		628416
	171859849	Enemy_Conversation_05_Pt2	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Enemy_Conversation_05_Pt2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Enemy_Conversation\Enemy_Conversation_05\Enemy_Conversation_05_Pt2		100544
	221338818	Archer_Melee_Attack_02	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Archer_Melee_Attack_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Archer_Melee_Attack\Archer_Melee_Attack_02		30016
	223352680	Enemy_Humanoid_Hit_02	E:\GitHub\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Enemy_Humanoid_Hit_02_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Human_enemies\Enemy_Humanoid_Hit\Enemy_Humanoid_Hit_02		33780
