Event	ID	Name			Wwise Object Path	Notes
	1018718152	Play_Jaskier_jump			\Default Work Unit\Jaskier\Play_Jaskier_jump	
	1788677752	J_Combo_3			\Default Work Unit\Jaskier\J_Combo_3	
	1788677753	J_Combo_2			\Default Work Unit\Jaskier\J_Combo_2	
	1788677754	J_Combo_1			\Default Work Unit\Jaskier\J_Combo_1	
	1916833811	Play_Jaskier_guitar_smash			\Default Work Unit\Jaskier\Play_Jaskier_guitar_smash	
	2312986841	Play_Jaskier_fall_down_get_up			\Default Work Unit\Jaskier\Play_Jaskier_fall_down_get_up	
	2721777174	Play_Jaskier_potion_fx			\Default Work Unit\Jaskier\Play_Jaskier_potion_fx	
	2870416861	J_Ult			\Default Work Unit\Jaskier\J_Ult	
	3175770957	Play_Jaskier_Ultimate_Available			\Default Work Unit\Jaskier\Play_Jaskier_Ultimate_Available	
	3196706884	J_moonwalk			\Default Work Unit\Jaskier\J_moonwalk	
	3460662205	Play_Jaskier_Run_dirt			\Default Work Unit\Jaskier\Play_Jaskier_Run_dirt	
	4022547377	Play_Jaskier_guitar_swing			\Default Work Unit\Jaskier\Play_Jaskier_guitar_swing	
	4116481551	Play_Jaskier_revive			\Default Work Unit\Jaskier\Play_Jaskier_revive	
	4169710139	Play_Jaskier_hit_sound			\Default Work Unit\Jaskier\Play_Jaskier_hit_sound	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	26022165	Jaskier_guitar_swing_7	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Jaskier_guitar_swing_7_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Jaskier_guitar_swing\Jaskier_guitar_swing_7		24650
	31365157	Potion_fx	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Potion_fx_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Potion_fx		1128064
	99508910	Jaskier_guitar_swing_1	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Jaskier_guitar_swing_1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Jaskier_guitar_swing\Jaskier_guitar_swing_1		43048
	163990787	Jaskier_guitar_swing_4	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Jaskier_guitar_swing_4_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Jaskier_guitar_swing\Jaskier_guitar_swing_4		147064
	286403294	Jaskier_guitar_swing_8	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Jaskier_guitar_swing_8_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Jaskier_guitar_swing\Jaskier_guitar_swing_8		23220
	420840914	jaskier song 1	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\jaskier song 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\jaskier song 1		529264
	437857490	Jaskier_guitar_swing_2	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Jaskier_guitar_swing_2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Jaskier_guitar_swing\Jaskier_guitar_swing_2		35856
	454737914	Jaskier_guitar_swing_6	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Jaskier_guitar_swing_6_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Jaskier_guitar_swing\Jaskier_guitar_swing_6		132364
	509597881	Character_fall_down_get_up	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Character_fall_down_get_up_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Geralt\Character_fall_down_get_up		221412
	586003345	Jaskier_jump	F:\Github2\The-Witcher-Ties-of-Destiny\TheWitcherWwiseProject\.cache\Windows\SFX\Jaskier_jump_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\Jaskier\Jaskier_jump		60168
